iter	Passed	Remaining
0	2	296
1	6	304
2	9	299
3	11	271
4	13	256
5	15	240
6	17	233
7	21	243
8	25	257
9	28	252
10	29	242
11	31	231
12	33	224
13	35	220
14	38	219
15	40	212
16	42	205
17	43	198
18	45	192
19	46	187
20	48	183
21	51	184
22	55	187
23	57	182
24	59	177
25	60	173
26	62	169
27	64	165
28	66	161
29	68	160
30	70	157
31	72	154
32	74	150
33	76	147
34	77	144
35	79	141
36	81	138
37	85	138
38	87	136
39	88	133
40	90	130
41	92	127
42	93	124
43	95	121
44	96	118
45	99	116
46	100	113
47	102	111
48	104	108
49	105	105
50	107	103
51	109	100
52	110	98
53	113	96
54	115	94
55	117	92
56	120	91
57	122	88
58	124	86
59	126	84
60	129	82
61	131	80
62	132	77
63	134	75
64	135	73
65	137	70
66	138	68
67	140	66
68	142	64
69	145	62
70	147	60
71	149	58
72	151	56
73	153	53
74	154	51
75	155	49
76	158	47
77	160	45
78	162	43
79	164	41
80	165	38
81	167	36
82	168	34
83	169	32
84	171	30
85	173	28
86	175	26
87	177	24
88	179	22
89	181	20
90	182	18
91	184	16
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	194	3
98	196	1
99	197	0
